id;numer;latitude;longitude;nazwa
100;15251;51.12887567;17.04499841;Promenady Wrocławskie
101;15252;51.052723;16.968801;Centrum Handlowe Auchan Bielany
102;15253;51.048391;16.961699;Aleja Bielany
103;15101;51.136786;17.030368;Obornicka / Bałtycka
104;15102;51.13833;17.06063;Berenta / Kasprowicza
105;15103;51.12843;17.0363;Kraszewskiego / Trzebnicka
106;15104;51.06277;17.0321;Grota-Roweckiego / Parafialna
107;15105;51.077147;17.046785;Świeradowska / Krynicka
108;15106;51.14035;17.08494;Krzywoustego / Korona
111;15109;51.0775;16.96396;Solskiego / al. Piastów
112;15110;51.06404;16.97753;Czekoladowa / Wałbrzyska
113;15111;51.08015;17.06228;Tarnogajska / Klimasa
114;15112;51.07748;17.08405;Opolska / pętla tramwajowa
115;15113;51.10702;16.94971;Graniczna / Strzegomska
116;15114;51.15013;17.02903;Żmigrodzka / Marino
117;15115;51.05725;17.02247;Strachowskiego / Parafialna
118;15116;51.0586;17.01411;Zwycięska / Agrestowa
119;15117;51.061634;16.996738;al. Karkonoska / Jeździecka
120;15118;51.07708;17.01824;Ślężna / Skierniewicka
121;15119;51.11059;16.95514;Strzegomska / Rogowska 
122;15120;51.08149;17.07693;Karwińska / Opolska
123;15121;51.12695;17.02804;Reymonta / Kleczkowska
124;15122;51.118899;17.013477;Młodych Techników
125;15123;51.12599;16.99725;Popowicka / Niedźwiedzia 
126;15124;51.13258;16.95697;Lotnicza / Metalowców
127;15125;51.09431;17.01479;Zaporoska / Wielka / Krucza
128;15126;51.15755;16.92781;Maślicka / Stodolna
129;15127;51.12658;16.95499;Bystrzycka / Idzikowskiego
130;15128;51.12021;17.07779;al. Kochanowskiego / Śniadeckich 
131;15129;51.13198;17.07945;al. Brücknera / Kwidzyńska
132;15130;51.13252;16.97377;Kozanowska / Pilczycka
133;15131;51.140713;16.958199;Pilczycka / Koszykarska
134;15132;51.150227;17.118549;al. Jana III Sobieskiego / stacja kolejowa
135;15133;51.147082;17.042321;Kamieńskiego / Jutrosińska
136;15134;51.05927;17.07877;Semaforowa
137;15135;51.10209;17.10168;Olszewskiego / Spółdzielcza
138;15136;51.101431;17.108481;Olszewskiego, pętla tramwajowa
139;15137;51.105578;17.111316;Bacciarellego
140;15138;51.11514;17.07436;al. Kochanowskiego / Kopernika
141;15139;51.13959;17.03216;Bałtycka / Żmigrodzka
142;15140;51.14156;17.02587;Bezpieczna / Obornicka
143;15141;51.125652;16.968627;Drzewieckiego / Dedala
144;15142;51.072302;17.012384;Ślężna / pętla tramwajowa
163;15161;51.09126;16.98581;Hallera / Odkrywców
145;15143;51.05909;17.08687;Mościckiego / Chińska 
146;15144;51.09053;17.06373;Krakowska / Leroy Merlin
147;15145;51.14128;17.06613;Koszarowa / UWr
148;15146;51.14905;17.07565;Sołtysowicka / Redycka
149;15147;51.142596;17.081411;al. Poprzeczna / stacja kolejowa
150;15148;51.06841;17.00399;Przyjaźni / Karkonoska
151;15149;51.06667;16.99435;Przyjaźni
152;15150;51.06628;17.05825;Konduktorska
153;15151;51.120913;16.876257;Jerzmanowska
154;15152;51.08476;17.05309;Nyska / Piękna
155;15153;51.12469;17.03488;pl. Powstańców Wielkopolskich
